company,company_score,primary_title,secondary_title,experience_level,location,min_salary,max_salary,avg_salary,source
PAC GROUP LLC,3.5,Software Engineer,"Fullstack, Java",Intermediate,"Annapolis Junction, MD",59000,88000,73500,Employer
Fanatics Inc.,3,Software Engineer,n/a,Intermediate,"San Jose, CA",105000,146000,125500,Glassdoor
Emergent Software,4.1,System Engineer,n/a,Intermediate,"Suffolk, VA",70000,125000,97500,Employer
Harvard University,4.1,Software Engineer,Backend,Senior,"New York, NY",62000,98000,80000,Glassdoor
Zoox,4.9,Software Engineer,Python,Intermediate,Unknown,82000,119000,100500,Glassdoor
Intone Networks,3.8,Software Engineer,n/a,Senior,"Boston, MA",80000,113000,96500,Glassdoor
CARTIKTECH LLC,4.1,Software Engineer,n/a,Intermediate,"Foster City, CA",67000,106000,86500,Glassdoor
Abbott Laboratories,3.9,Software Engineer,n/a,Intermediate,"Austin, TX",144000,200000,172000,Employer
Prove,3.4,Software Engineer,n/a,Senior,"Chicago, IL",129000,224000,176500,Employer
Schweitzer Engineering Laboratories,4.2,Software Engineer,n/a,Senior,"Chicago, IL",94972.8,114379.2,104676,Employer
Themis Insight,3.9,Software Engineer,n/a,Senior,"New York, NY",130000,270000,200000,Employer
World Vision USA,4.9,Software Engineer,C#,Entry,"Pullman, WA",140000,180000,160000,Employer
Rippling,3.7,Software Engineer,n/a,Entry,Remote,69000,98000,83500,Glassdoor
Hop Labs,4.2,Software Engineer,n/a,Senior,Unknown,59000,86000,72500,Glassdoor
"Hawaiian Airlines, Inc.",3.2,Software Engineer,n/a,Senior,Unknown,80000,123000,101500,Glassdoor
NetApp,3.9,Software Engineer,n/a,Intermediate,Remote,105000,152000,128500,Glassdoor
Quantum Systems Inc,4.1,Software Engineer,n/a,Intermediate,"Honolulu, HI",135000,175000,155000,Employer
Salesforce,3.9,Software Engineer,n/a,Intermediate,Remote,154000,279000,216500,Employer
Visa,3.7,Software Engineer,n/a,Senior,"Moorpark, CA",86000,145000,115500,Glassdoor
Honeywell,3.6,Software Engineer,Fullstack,Intermediate,"San Francisco, CA",104000,348000,226000,Employer
Oliver Wyman Group,3.4,Software Engineer,n/a,Senior,"Austin, TX",76000,155000,115500,Employer
NVIDIA,2.5,Software Engineer,n/a,Entry,"Richardson, TX",83000,114000,98500,Glassdoor
Morgan Stanley,4.4,Software Engineer,n/a,Entry,"White Plains, NY",155000,221000,188000,Employer
Amex,4.5,Software Engineer,n/a,Intermediate,"Santa Clara, CA",100000,200000,150000,Employer
Multi State Lottery Association,4,Software Engineer,"Perl, Python",Entry,"Alpharetta, GA",83000,110000,96500,Glassdoor
BAXTER,3.7,Software Engineer,n/a,Senior,"Johnston, IA",129000,207000,168000,Employer
Afterpay,3.7,Software Engineer,n/a,Entry,"Houston, TX",161000,215000,188000,Glassdoor
U.S. Bank National Association,4,Software Engineer,Backend,Senior,"Bellevue, WA",93000,132000,112500,Glassdoor
Geon Technologies,3.8,Software Engineer,n/a,Intermediate,"San Francisco, CA",95000,115000,105000,Employer
INTEL,5,Software Engineer,n/a,Intermediate,"Brookfield, WI",310000,465000,387500,Employer
TDI Technologies,4.1,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",117000,160000,138500,Glassdoor
DAIKIN COMFORT TECHNOLOGIES MFG LP,4.3,Software Engineer,n/a,Intermediate,"San Jose, CA",213000,293000,253000,Employer
Intone Networks,4.4,Software Engineer,C#,Intermediate,Unknown,87000,124000,105500,Glassdoor
Intone Networks,3.6,Software Engineer,n/a,Senior,"Chatsworth, CA",163000,294000,228500,Employer
Wise,3.6,Software Engineer,n/a,Intermediate,"Westlake, TX",195000,230000,212500,Employer
"Garmin International, Inc.",3.1,Cloud Engineer,n/a,Entry,"Phoenix, AZ",70000,90000,80000,Employer
Nyla Technology Solutions,4.2,Software Engineer,n/a,Senior,"Austin, TX",86000,109000,97500,Employer
Wellington Management,3,Software Engineer,.NET,Senior,"Cary, NC",79000,124000,101500,Glassdoor
Synergy ECP,3.5,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",122000,147000,134500,Employer
Costco Wholesale,3.1,Software Engineer,n/a,Senior,"Boston, MA",110000,154000,132000,Employer
"Vizient, Inc.",4.5,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",119000,142000,130500,Employer
Leidos,3.7,Software Engineer,n/a,Intermediate,"Seattle, WA",120000,150000,135000,Employer
Noblis,3.7,Software Engineer,n/a,Senior,"Irving, TX",85000,131000,108000,Glassdoor
ELEVI Associates,4.7,Software Engineer,n/a,Entry,"Annapolis Junction, MD",60000,80000,70000,Employer
ASCENDING,4,Software Engineer,n/a,Intermediate,"Oklahoma City, OK",112000,177000,144500,Employer
Trellint,4,Software Engineer,n/a,Senior,"Annapolis Junction, MD",90000,104000,97000,Employer
Synergy ECP,4.1,Software Engineer,n/a,Intermediate,"Fairfax, VA",79000,159000,119000,Employer
Lockheed Martin,3.6,Software Engineer,R,Intermediate,Unknown,195000,245000,220000,Employer
"Trusted Space, Inc.",4.4,Software Engineer,n/a,Entry,"Columbia, MD",66000,112000,89000,Glassdoor
State Street,4.2,Software Engineer,n/a,Intermediate,"Highlands Ranch, CO",145000,190000,167500,Employer
"Availity, LLC.",4,Software Engineer,n/a,Intermediate,Unknown,86000,127000,106500,Glassdoor
BorgWarner,1,Software Engineer,n/a,Intermediate,"Quincy, MA",120000,140000,130000,Employer
Ford Motor Company,4.1,Software Engineer,"Kotlin, Node",Senior,"Jacksonville, FL",61000,89000,75000,Glassdoor
Forterra,3.9,Software Engineer,n/a,Intermediate,"Auburn Hills, MI",68000,102000,85000,Glassdoor
Epsilon,3.1,Software Engineer,n/a,Intermediate,"Dearborn, MI",79000,125000,102000,Glassdoor
ByteDance,3.3,Software Engineer,n/a,Intermediate,Remote,100000,155000,127500,Glassdoor
Logistics Management Institute,3.7,Software Engineer,n/a,Senior,"Chicago, IL",94000,122000,108000,Glassdoor
"Hottinger, Bruel & Kjaer",3.9,Security Engineer,n/a,Intermediate,"San Jose, CA",124800,149760,137280,Employer
Sirius XM,3.6,Cloud Engineer,n/a,Intermediate,Remote,105000,125000,115000,Employer
Warner Bros. Discovery,3.8,Software Engineer,n/a,Intermediate,"Pompano Beach, FL",103000,147000,125000,Glassdoor
Peloton,3.3,Software Engineer,"Python, Redis",Senior,"Oakland, CA",81000,118000,99500,Glassdoor
Movius Interactive Corporation,3.4,Software Engineer,n/a,Intermediate,Unknown,122000,172000,147000,Glassdoor
Accenture Federal Services,4,Software Engineer,SRE,Intermediate,Unknown,108000,216000,162000,Employer
Corteva,3.9,Software Engineer,Backend,Intermediate,"Fremont, CA",122000,184000,153000,Employer
IntraFi Network,3.3,Software Engineer,n/a,Intermediate,"Elkridge, MD",121000,181000,151000,Employer
PSEG,3.9,Software Engineer,n/a,Intermediate,"Johnston, IA",78000,133000,105500,Employer
Trane Technologies,3.6,Software Engineer,n/a,Intermediate,"Bethpage, NY",86000,139000,112500,Glassdoor
Discord,4.3,Software Engineer,n/a,Intermediate,"Santa Clara, CA",88000,173000,130500,Employer
Tesla,4.2,Software Engineer,n/a,Intermediate,"Saint Paul, MN",182000,244000,213000,Glassdoor
Microsoft,4,Software Engineer,n/a,Intermediate,"San Francisco, CA",124000,155000,139500,Employer
First American Financial Corporation,3.7,Software Engineer,Backend,Senior,"Fremont, CA",94000,129000,111500,Glassdoor
IntraFi Network,3.6,Software Engineer,n/a,Intermediate,"Redmond, WA",151507.2,168334.4,159920.8,Employer
Collins Aerospace,3.5,Software Engineer,n/a,Intermediate,"Idaho Falls, ID",130000,165000,147500,Employer
Roche,4.3,Software Engineer,n/a,Intermediate,"Arlington, VA",65000,101000,83000,Glassdoor
Qualtrics,3,Software Engineer,n/a,Intermediate,"Lenexa, KS",129000,224000,176500,Employer
Edward Rose & Sons,4.4,Software Engineer,n/a,Senior,"Santa Clara, CA",161000,243000,202000,Employer
Michelin,5,Data Engineer,n/a,Senior,"Seattle, WA",76000,107000,91500,Glassdoor
"Garmin International, Inc.",4.7,Software Engineer,n/a,Intermediate,"Bloomfield Hills, MI",70000,85000,77500,Employer
Smart IMS,4.3,Software Engineer,n/a,Entry,"Spartanburg, SC",75000,150000,112500,Employer
Wipro,3.9,Firmware Engineer,n/a,Intermediate,"Olathe, KS",110000,150000,130000,Employer
Harley-Davidson,3.8,Software Engineer,n/a,Intermediate,Unknown,98000,147000,122500,Glassdoor
"VIZIO, Inc.",3.4,Software Engineer,PHP,Intermediate,"Tampa, FL",74000,92000,83000,Employer
Geneva Technologies Inc.,3.4,Software Engineer,n/a,Entry,"Wauwatosa, WI",8000,12000,10000,Employer
ElectronX,4.2,Software Engineer,n/a,Senior,"Dallas, TX",90000,131000,110500,Employer
Camelot Integrated Solutions Inc.,3.7,Software Engineer,n/a,Intermediate,"Monument, CO",120000,150000,135000,Employer
"JRC Integrated Systems, LLC",3.7,DevOps Engineer,n/a,Intermediate,Remote,126000,237000,181500,Employer
Sabre Engineering,3.5,Software Engineer,n/a,Intermediate,"Houston, TX",50000,78000,64000,Glassdoor
Thermoflow,4.2,Software Engineer,n/a,Intermediate,"Dahlgren, VA",94000,117000,105500,Glassdoor
Fanatics Inc.,3.5,Software Engineer,n/a,Entry,"Columbia, MD",185000,200000,192500,Employer
"Twitch Interactive, Inc.",3.5,Software Engineer,n/a,Intermediate,"Jacksonville, FL",103000,149000,126000,Employer
Adtran,3.4,Software Engineer,n/a,Senior,"New York, NY",109000,141000,125000,Glassdoor
Oncorre,3.8,Software Engineer,n/a,Intermediate,"Seattle, WA",76000,116000,96000,Glassdoor
NMG Technology Services,3.8,Software Engineer,n/a,Senior,Unknown,37000,82000,59500,Employer
Captivation Software,3.7,Software Engineer,n/a,Intermediate,"Bridgewater, NJ",129000,159000,144000,Glassdoor
Invisible Technologies,3.7,Software Engineer,n/a,Intermediate,"Brooklyn, NY",80000,111000,95500,Glassdoor
Metas Solutions,4.1,DevOps Engineer,n/a,Intermediate,"Annapolis Junction, MD",95000,133000,114000,Glassdoor
"GAP Solutions, Inc.",4,Software Engineer,n/a,Senior,Remote,130000,140000,135000,Employer
Independent Software,4.2,QA/Test Engineer,n/a,Intermediate,"Atlanta, GA",81000,118000,99500,Glassdoor
InterImage,4.1,QA/Test Engineer,n/a,Intermediate,"Atlanta, GA",120000,150000,135000,Employer
Tickets.com,5,Software Engineer,n/a,Entry,"Fort Meade, MD",180000,260000,220000,Employer
Adobe,4.9,Software Engineer,Java,Intermediate,"Annapolis Junction, MD",86000,111000,98500,Glassdoor
Embecta,3.3,Software Engineer,n/a,Senior,"Boulder, CO",83200,93600,88400,Employer
Tesla,4.2,Software Engineer,n/a,Senior,"San Jose, CA",74000,109000,91500,Glassdoor
CVS Health,4.1,Software Engineer,Fullstack,Senior,"Andover, MA",108000,116000,112000,Employer
Space Systems Integration,3,Software Engineer,Backend,Senior,"Fremont, CA",103000,146000,124500,Glassdoor
Cash App,4.5,Software Engineer,Fullstack,Intermediate,"Hartford, CT",89000,128000,108500,Glassdoor
Index Engines Inc.,3.9,Software Engineer,n/a,Intermediate,"Seattle, WA",144000,198000,171000,Employer
Ford Motor Company,4.4,ML/AI Engineer,n/a,Intermediate,"Cupertino, CA",160000,321000,240500,Employer
Q9Software,4.1,Software Engineer,React,Intermediate,Unknown,97000,155000,126000,Glassdoor
Squarespace,3.8,Software Engineer,n/a,Intermediate,"Dearborn, MI",120000,290000,205000,Employer
"Advanced Micro Devices, Inc",3.4,Software Engineer,n/a,Intermediate,"Germantown, MD",87000,126000,106500,Glassdoor
InterImage,3.7,Software Engineer,Java,Senior,Unknown,129000,224000,176500,Employer
"Flow Systems, Inc",3.4,Software Engineer,n/a,Intermediate,"San Jose, CA",103000,141000,122000,Employer
OpenAI,4.6,Software Engineer,Java,Entry,"Annapolis Junction, MD",135000,155000,145000,Employer
Teradyne,3.8,Software Engineer,n/a,Intermediate,"Berthoud, CO",65000,118000,91500,Employer
Meta,2.9,Software Engineer,n/a,Senior,"San Francisco, CA",80000,94000,87000,Employer
Yellow Duck Technologies Inc.,4.3,Software Engineer,n/a,Intermediate,"North Reading, MA",104000,348000,226000,Employer
Workday,4,Software Engineer,n/a,Senior,"Redmond, WA",300000,450000,375000,Employer
Ops Tech Alliance,4.2,Software Engineer,n/a,Entry,"Annapolis Junction, MD",90000,126000,108000,Glassdoor
CDK Global,3.7,Software Engineer,n/a,Senior,"Seattle, WA",78000,102000,90000,Glassdoor
IAB Solutions LLC,3.7,Software Engineer,n/a,Senior,"Fort Meade, MD",110000,154000,132000,Employer
General Assembly,4.2,Software Engineer,n/a,Entry,"Austin, TX",87000,171000,129000,Employer
Delta Dental Ins.,4.3,Software Engineer,n/a,Senior,Unknown,125000,160000,142500,Employer
Cotiviti,4.4,Software Engineer,n/a,Intermediate,"Denver, CO",83000,124000,103500,Employer
BOEING,4.1,Software Engineer,n/a,Senior,"Alpharetta, GA",74000,98000,86000,Glassdoor
Braum's,3.9,DevOps Engineer,n/a,Senior,Remote,102000,159000,130500,Employer
Cummings Aerospace Inc,2.5,Software Engineer,n/a,Intermediate,"Annapolis Junction, MD",115000,165000,140000,Employer
T.M. Bier & Associates,4.4,Software Engineer,n/a,Senior,"Oklahoma City, OK",108000,216000,162000,Employer
Zelis,3.9,Software Engineer,n/a,Intermediate,"Largo, FL",90000,145000,117500,Employer
TikTok,3.7,Software Engineer,n/a,Intermediate,Unknown,68000,104000,86000,Glassdoor
Eaton,3.5,Software Engineer,"C#, Rust",Senior,Unknown,72000,108000,90000,Employer
CVS Health,3,DevOps Engineer,Frontend,Entry,"San Jose, CA",69000,120000,94500,Glassdoor
Zoox,3.7,Software Engineer,n/a,Intermediate,"Peachtree City, GA",72000,127000,99500,Glassdoor
Radiance Technologies,3.9,Software Engineer,n/a,Intermediate,"Hartford, CT",158000,205000,181500,Employer
Boston Consulting Group,4.2,Software Engineer,Fullstack,Senior,"San Francisco, CA",100000,160000,130000,Employer
Sage,3.5,Software Engineer,Fullstack,Intermediate,"Beavercreek, OH",104000,112320,108160,Employer
Neurable,4.4,Software Engineer,n/a,Intermediate,"Los Angeles, CA",130000,210000,170000,Employer
ASM International,3.4,Software Engineer,C#,Intermediate,"Lawrenceville, GA",115000,159000,137000,Glassdoor
Galvion,4,Software Engineer,n/a,Senior,"Boston, MA",138000,192000,165000,Glassdoor
Prophet Software,3.6,Software Engineer,n/a,Intermediate,"Hillsboro, OR",89000,129000,109000,Glassdoor
Ansira,4.1,Software Engineer,n/a,Entry,"Portsmouth, NH",130000,150000,140000,Employer
Elder Research,4.7,Software Engineer,n/a,Intermediate,"Westlake Village, CA",177000,251000,214000,Employer
3 Reasons Consulting,3.9,Software Engineer,Fullstack,Intermediate,Unknown,100000,158000,129000,Glassdoor
"AB2 Consulting, Inc.",3.2,Software Engineer,Backend,Intermediate,"Fort George G Meade, MD",168000,253000,210500,Employer
University of Maryland,4.1,Software Engineer,n/a,Intermediate,"San Diego, CA",167000,296000,231500,Employer
CPI Card Group,3.6,QA/Test Engineer,n/a,Intermediate,"Okemos, MI",136000,200000,168000,Employer
Simplot,3.8,Data Engineer,n/a,Intermediate,"College Park, MD",72800,104000,88400,Employer
Walmart Advanced Systems and Robotics,4.1,Software Engineer,n/a,Intermediate,"Fort Wayne, IN",118000,142000,130000,Employer
Fanatics Inc.,3.5,Software Engineer,n/a,Intermediate,"Boise, ID",109000,219000,164000,Employer
GE HEALTHCARE,4,Software Engineer,n/a,Senior,"Andover, MA",64000,113000,88500,Glassdoor
NORC at the University of Chicago,4.1,Software Engineer,Android,Intermediate,Unknown,104000,166000,135000,Employer
WSSC Water,5,Software Engineer,n/a,Intermediate,"Washington, DC",181000,212000,196500,Employer
RVO Health,4,Cloud Engineer,n/a,Intermediate,"Chicago, IL",91000,119000,105000,Glassdoor
Wisenbaker Builder Services,3.8,Software Engineer,Build/Release,Intermediate,"Laurel, MD",70000,115000,92500,Employer
Optum,3,Software Engineer,n/a,Intermediate,"Charlotte, NC",124000,211000,167500,Employer
SoFi,3.9,Software Engineer,n/a,Intermediate,"Hillsboro, TX",161000,253000,207000,Employer
Fanatics Inc.,4.1,Software Engineer,Java,Senior,"Eden Prairie, MN",90000,140000,115000,Employer
Micron,3.4,Software Engineer,n/a,Senior,"Seattle, WA",123000,175000,149000,Employer
Boeing,3.5,Software Engineer,n/a,Intermediate,"New York, NY",81000,131000,106000,Glassdoor
bellelynn,3.6,Software Engineer,n/a,Intermediate,"Boise, ID",77000,104000,90500,Glassdoor
Bertrandt,3.8,Software Engineer,n/a,Senior,"El Segundo, CA",125000,208000,166500,Employer
Amazon.com Services LLC,3.7,Software Engineer,n/a,Senior,"Columbia, MD",80000,113000,96500,Glassdoor
Salesforce,4,Software Engineer,n/a,Intermediate,"Sterling Heights, MI",129000,224000,176500,Employer
Ford Motor Company,4.2,Software Engineer,n/a,Intermediate,"New York, NY",92000,133000,112500,Glassdoor
EAI Technologies,3.8,Software Engineer,n/a,Intermediate,"Bellevue, WA",105000,130000,117500,Glassdoor
Mahlet,4.1,Software Engineer,n/a,Intermediate,"Dearborn, MI",62000,89000,75500,Glassdoor
New River Systems Corporation,4.4,Software Engineer,n/a,Entry,"Vienna, VA",110000,145000,127500,Employer
REV Robotics,4.6,Software Engineer,n/a,Intermediate,"Burtonsville, MD",116000,128000,122000,Employer
"IntelliGenesis, LLC",4.1,System Engineer,n/a,Intermediate,Unknown,111000,184000,147500,Employer
Enersys,3.6,Software Engineer,n/a,Senior,"Carrollton, TX",138000,297000,217500,Employer
University of Washington,4.7,Software Engineer,Fullstack,Entry,"Arlington, VA",109000,145000,127000,Glassdoor
Hewlett Packard,3.8,Software Engineer,n/a,Entry,"Longmont, CO",97000,133000,115000,Glassdoor
Movius Interactive Corporation,3.4,Software Engineer,n/a,Intermediate,"Seattle, WA",100000,145000,122500,Employer
Noblis,4.1,Software Engineer,n/a,Intermediate,"Fort Collins, CO",86000,129000,107500,Glassdoor
CEDENT,3.7,Software Engineer,Backend,Intermediate,"Fremont, CA",53000,96000,74500,Glassdoor
Bank of America,3.5,Software Engineer,n/a,Intermediate,"McLean, VA",75000,131000,103000,Employer
LinQuest Corporation,4.3,System Engineer,JAVA,Intermediate,"Warren, MI",119000,173000,146000,Glassdoor
Hewlett Packard,3.5,Software Engineer,n/a,Intermediate,"Charlotte, NC",97000,126000,111500,Glassdoor
Oracle,4,Software Engineer,n/a,Intermediate,Unknown,84000,106000,95000,Glassdoor
Federal Reserve Bank of Boston,4.1,Software Engineer,Frontend,Intermediate,"Fort Collins, CO",81000,109000,95000,Glassdoor
Collins Aerospace,3.5,Software Engineer,n/a,Intermediate,"Austin, TX",166000,228000,197000,Employer
Apriva,3.9,Software Engineer,Fullstack,Intermediate,"Boston, MA",154000,279000,216500,Employer
ASEC,3.9,Software Engineer,n/a,Intermediate,"Cedar Rapids, IA",115000,154000,134500,Employer
T. Rowe Price,4.6,Software Engineer,n/a,Senior,"Phoenix, AZ",66000,109000,87500,Glassdoor
S&S Activewear LLC,3.8,Software Engineer,n/a,Intermediate,"Patuxent River, MD",116000,204000,160000,Employer
Peterson Technologies,4,Software Engineer,n/a,Intermediate,"Owings Mills, MD",102000,150000,126000,Glassdoor
"LongPath Technologies, Inc.",3.7,Software Engineer,n/a,Senior,"Bolingbrook, IL",139000,184000,161500,Glassdoor
Gradient,4,Software Engineer,n/a,Intermediate,"Hanover, MD",94000,118000,106000,Glassdoor
Amazon.com Services LLC,4.2,Software Engineer,n/a,Senior,"Boulder, CO",94000,136000,115000,Glassdoor
ENVISN INCORPORATED,3.7,Software Engineer,n/a,Senior,"Burlingame, CA",126000,265000,195500,Employer
Intersoft Data Labs,3.5,Software Engineer,n/a,Intermediate,"Tempe, AZ",100000,135000,117500,Glassdoor
Digital Insight Printing,4.1,QA/Test Engineer,n/a,Intermediate,"Indianola, PA",175000,209000,192000,Employer
Teradyne,3.6,Software Engineer,n/a,Intermediate,"Columbia, MD",248000,385000,316500,Employer
Beshenich Muir & Associates Llc,4.6,Software Engineer,n/a,Intermediate,Remote,91000,152000,121500,Employer
Powermind Solutions,4.6,ML/AI Engineer,n/a,Intermediate,"North Reading, MA",129000,193000,161000,Employer
Plaid,3.7,System Engineer,n/a,Intermediate,"Fort Belvoir, VA",98000,135000,116500,Glassdoor
"Grammarly, Inc.",3.2,Software Engineer,n/a,Intermediate,Unknown,114000,149000,131500,Glassdoor
ShipperHQ,4,Software Engineer,n/a,Intermediate,"San Francisco, CA",130000,236000,183000,Employer
Bryn Neil,3.6,Software Engineer,Backend,Intermediate,Unknown,144000,288000,216000,Employer
DCS Corp,3.9,Software Engineer,SRE,Senior,"Austin, TX",49000,84000,66500,Glassdoor
Bank of America,3.4,Software Engineer,n/a,Intermediate,"Denver, CO",129000,224000,176500,Employer
"Amazon Web Services, Inc.",3.8,Software Engineer,n/a,Intermediate,Unknown,118000,184000,151000,Glassdoor
"Bio-Rad Laboratories, Inc.",4.1,Software Engineer,n/a,Intermediate,"Plano, TX",86000,116000,101000,Glassdoor
"Audacy, Inc.",4.8,Software Engineer,n/a,Intermediate,"Seattle, WA",124000,234000,179000,Employer
CyberKorp,4.2,Software Engineer,n/a,Intermediate,"Hercules, CA",80000,119000,99500,Employer
Tesla,4.1,Software Engineer,Java,Entry,"Fort Meade, MD",234000,284000,259000,Employer
OpenAI,3.1,Data Engineer,ETL,Intermediate,"Elkridge, MD",160000,385000,272500,Employer
Electronic Warfare Associates,3.8,Software Engineer,n/a,Intermediate,"San Francisco, CA",82000,118000,100000,Glassdoor
"BillGO, Inc.",3.3,Software Engineer,n/a,Senior,"Frisco, TX",69000,107000,88000,Glassdoor
Genesys,3.6,Software Engineer,n/a,Intermediate,"Mount Laurel, NJ",95000,143000,119000,Employer
