company,company_score,primary_title,secondary_title,experience_level,location,min_salary,max_salary,avg_salary,source
Bigbear.ai,3.7,Software Engineer,n/a,Intermediate,"Columbia, MD",120000,130000,125000,Employer
"Benistar Administrative Services, Inc.",3.9,Cloud Engineer,AWS,Intermediate,"Avon, CT",86000,131000,108500,Glassdoor
State of Colorado Job Opportunities,4.7,Cloud Engineer,n/a,Intermediate,Unknown,92000,133000,112500,Glassdoor
Intellisource Colorado LLC,3.1,Software Engineer,n/a,Senior,"Bentonville, AR",112000,165000,138500,Glassdoor
"First Command Financial Services, Inc.",4.2,Software Engineer,n/a,Intermediate,Unknown,104000,145600,124800,Employer
NBCUniversal,4.4,Software Engineer,n/a,Intermediate,"Englewood Cliffs, NJ",145000,162000,153500,Employer
Artera Technologies,4.4,Software Engineer,n/a,Intermediate,Unknown,147000,189000,168000,Employer
Thompson Gray Inc.,4.7,Software Engineer,n/a,Intermediate,Unknown,72000,159000,115500,Employer
Origence,4,Software Engineer,n/a,Intermediate,Remote,79000,111000,95000,Glassdoor
Medius,3.6,Software Engineer,n/a,Intermediate,"Jacksonville, FL",115000,161000,138000,Employer
f5,3.8,Software Engineer,n/a,Senior,"Seattle, WA",82000,102000,92000,Employer
CNH Industrial,3.8,Software Engineer,n/a,Intermediate,Remote,86000,136000,111000,Glassdoor
Fusion Plus Solutions Inc.,3.7,Software Engineer,n/a,Intermediate,"Edison, NJ",170000,200000,185000,Employer
University of Florida,3.2,Software Engineer,n/a,Intermediate,Unknown,90000,116000,103000,Glassdoor
Northwestern Mutual,3.8,Software Engineer,n/a,Intermediate,"Franklin, WI",114000,152000,133000,Glassdoor
Vibrint,3.8,Software Engineer,n/a,Entry,"Annapolis Junction, MD",80000,120000,100000,Employer
Hubbell Incorporated,3.4,Software Engineer,n/a,Senior,"Avon, CT",95000,126000,110500,Glassdoor
Valkyrie Enterprises,3.8,Software Engineer,n/a,Entry,"Huntsville, AL",138000,178000,158000,Employer
Two Six Technologies,4.5,Software Engineer,n/a,Intermediate,"Herndon, VA",61000,147000,104000,Employer
Decision Six,3.6,Software Engineer,n/a,Intermediate,Unknown,124000,211000,167500,Employer
Microsoft,4.4,Software Engineer,n/a,Intermediate,"Redmond, WA",90000,117000,103500,Glassdoor
Ateliere Creative Technologies,4.1,DevOps Engineer,n/a,Senior,"Los Angeles, CA",98000,209000,153500,Employer
OpenAI,3.1,Firmware Engineer,n/a,Intermediate,"San Francisco, CA",78000,121000,99500,Glassdoor
Two Six Technologies,2.7,Software Engineer,n/a,Intermediate,"Tysons Corner, VA",100000,165000,132500,Employer
Sasken,4.1,Software Engineer,n/a,Intermediate,Unknown,71000,112000,91500,Glassdoor
RealmOne,3.8,Software Engineer,n/a,Intermediate,Unknown,95000,152000,123500,Employer
The Wolf Works LLC,4.4,Software Engineer,Node,Intermediate,"Austin, TX",86000,105000,95500,Glassdoor
Millennium Management,3.8,Software Engineer,C#,Intermediate,"New York, NY",135000,216000,175500,Employer
"Aflac, Incorporated",4,Software Engineer,n/a,Senior,Remote,93000,112000,102500,Employer
RingCentral,3.9,Software Engineer,n/a,Intermediate,"Belmont, CA",104000,161000,132500,Glassdoor
Dallas Area Rapid Transit,3.7,Software Engineer,n/a,Intermediate,"Dallas, TX",77000,121000,99000,Glassdoor
W R Systems,3.5,Software Engineer,n/a,Intermediate,"Dahlgren, VA",95000,134000,114500,Glassdoor
"CARECRAFT, INC",3.7,Software Engineer,n/a,Intermediate,"Carlsbad, CA",125000,178000,151500,Employer
SpecialT Tech,3.1,Cloud Engineer,n/a,Intermediate,Remote,76000,108000,92000,Glassdoor
"Hottinger, Bruel & Kjaer",4.5,Software Engineer,n/a,Intermediate,"Pompano Beach, FL",77000,116000,96500,Glassdoor
"CPS Solutions, LLC",4.1,DevOps Engineer,n/a,Intermediate,Unknown,82000,106000,94000,Glassdoor
Northwestern Memorial Healthcare,4.2,Software Engineer,n/a,Intermediate,"Chicago, IL",86000,120000,103000,Glassdoor
The Swift Group,4.1,Software Engineer,n/a,Intermediate,"Columbia, MD",96000,146000,121000,Employer
ASUS Computer International,4.9,Software Engineer,n/a,Intermediate,"Hillsboro, OR",96000,137000,116500,Glassdoor
Persistent Systems,4.6,Software Engineer,n/a,Intermediate,Unknown,141000,239000,190000,Employer
Cedar Inc,3.3,Software Engineer,n/a,Intermediate,"New York, NY",108000,140000,124000,Employer
Salesforce,3.1,Software Engineer,n/a,Intermediate,"San Francisco, CA",83200,114400,98800,Employer
CVS Health,2.4,Software Engineer,".NET, C#",Intermediate,"Scottsdale, AZ",108000,195000,151500,Employer
Nautilus Hyosung America Inc,3.1,Software Engineer,n/a,Intermediate,"Irving, TX",111000,184000,147500,Employer
Blue Origin,4.4,Firmware Engineer,n/a,Intermediate,"Seattle, WA",189000,284000,236500,Employer
West Bend Insurance Company,4.9,Software Engineer,n/a,Intermediate,"West Bend, WI",79000,109000,94000,Glassdoor
JBT Corporation,4.1,Software Engineer,C#,Intermediate,"Chalfont, PA",94000,129000,111500,Glassdoor
Cedar Inc,3.1,Software Engineer,n/a,Senior,"New York, NY",56000,83000,69500,Glassdoor
Allied Business Consulting,3.8,Software Engineer,n/a,Intermediate,"Somerset, NJ",202000,290000,246000,Employer
"Chick-fil-A, Inc.",2.3,Software Engineer,Backend,Senior,"Atlanta, GA",70000,103000,86500,Glassdoor
"US AMR-Jones Lang LaSalle Americas, Inc.",3.8,Software Engineer,n/a,Intermediate,"San Francisco, CA",86000,121000,103500,Glassdoor
Smart IMS,3.8,Software Engineer,n/a,Intermediate,"Austin, TX",74000,107000,90500,Glassdoor
Clearwater Analytics,4.7,Software Engineer,n/a,Intermediate,"San Jose, CA",81000,113000,97000,Glassdoor
PayPal,3.9,Software Engineer,Backend,Intermediate,"San Jose, CA",72000,119000,95500,Glassdoor
WALGREENS,4.6,Software Engineer,n/a,Senior,"Bellevue, WA",90000,125000,107500,Glassdoor
The Swift Group,3.7,Software Engineer,n/a,Intermediate,"McLean, VA",80000,150000,115000,Employer
Hewlett Packard,3.5,Software Engineer,n/a,Intermediate,"Spring, TX",72000,144000,108000,Employer
Microsoft,4,Software Engineer,n/a,Intermediate,"Redmond, WA",70000,95000,82500,Employer
New River Systems Corporation,4.4,System Engineer,n/a,Intermediate,Remote,100000,140000,120000,Employer
"Modern Technology Solutions, Inc.",4.6,Software Engineer,n/a,Entry,"Chantilly, VA",124000,234000,179000,Employer
PQSecure Technologies,3.7,Firmware Engineer,n/a,Intermediate,"Boca Raton, FL",88000,119000,103500,Glassdoor
ISPA Technology,4.4,Software Engineer,n/a,Senior,"San Diego, CA",123000,198000,160500,Employer
OnMed,5,Software Engineer,SRE,Intermediate,"Tampa, FL",158000,176000,167000,Employer
Grote Industries,4.2,Firmware Engineer,n/a,Intermediate,"Madison, IN",160000,180000,170000,Employer
WALGREENS,3.9,DevOps Engineer,n/a,Intermediate,"Deerfield, IL",87000,119000,103000,Glassdoor
Cloud Software Group,4.5,Software Engineer,n/a,Intermediate,"Naperville, IL",97000,145000,121000,Employer
WALGREENS,4.6,Software Engineer,"Fullstack, Java, JavaScript",Senior,"Bellevue, WA",89000,139000,114000,Glassdoor
NationMind Infoservices Pvt Ltd,3.6,Software Engineer,n/a,Intermediate,Unknown,53000,103000,78000,Employer
Arrowstreet Capital,3.4,Software Engineer,Fullstack,Intermediate,"Boston, MA",129000,228000,178500,Employer
Favorited,4.8,Software Engineer,Fullstack,Intermediate,"Santa Monica, CA",150000,250000,200000,Employer
Strategic Thermal Labs,2.5,Software Engineer,n/a,Intermediate,"Georgetown, TX",116000,163000,139500,Glassdoor
IdolSoft,3.3,Software Engineer,n/a,Intermediate,"Irving, TX",104000,127000,115500,Glassdoor
BI Labs,3.1,Software Engineer,n/a,Intermediate,"Plainsboro, NJ",53000,96000,74500,Employer
Verily,3.5,Software Engineer,Frontend,Intermediate,"San Bruno, CA",60000,90000,75000,Employer
Colonial Pipeline Company,4.4,Software Engineer,n/a,Intermediate,"Alpharetta, GA",143000,191000,167000,Employer
Leader Communications Inc,4.2,Software Engineer,n/a,Intermediate,"Hill AFB, UT",142000,162000,152000,Employer
UCare,3.3,Software Engineer,n/a,Senior,"Minneapolis, MN",89000,129000,109000,Glassdoor
CliftonLarsonAllen,4.8,DevOps Engineer,n/a,Intermediate,"Minneapolis, MN",94000,156000,125000,Employer
Two Six Technologies,3.9,Software Engineer,n/a,Entry,Remote,80000,148000,114000,Glassdoor
BAE Systems,3.9,Software Engineer,n/a,Intermediate,"Herndon, VA",62000,105000,83500,Employer
Nodal Exchange,3.5,Software Engineer,n/a,Intermediate,"Herndon, VA",81000,164000,122500,Employer
Gomez & Companies,3.5,Software Engineer,n/a,Intermediate,Unknown,98000,145000,121500,Glassdoor
"T-Mobile USA, Inc.",3.7,Software Engineer,"API, Fullstack",Intermediate,"Canoga Park, CA",157000,207000,182000,Employer
M&T Bank,3.5,Software Engineer,n/a,Senior,"Bellevue, WA",133000,143000,138000,Employer
Pressco Technology,4.5,Software Engineer,"API, Java, Spring",Senior,"Buffalo, NY",79000,159000,119000,Employer
YouTube,3.8,QA/Test Engineer,n/a,Intermediate,"Solon, OH",132000,190000,161000,Glassdoor
ISPA Technology,4.2,ML/AI Engineer,n/a,Senior,"New York, NY",90000,143000,116500,Glassdoor
Scentsy Inc,4,System Engineer,n/a,Intermediate,Unknown,101000,187000,144000,Employer
STRATASCORP,3.5,Software Engineer,n/a,Intermediate,"Meridian, ID",58000,103000,80500,Glassdoor
3R Info,3.8,Software Engineer,n/a,Intermediate,"Arlington, VA",125000,200000,162500,Employer
Gelber Group,5,Software Engineer,n/a,Senior,"Los Altos, CA",110000,143000,126500,Glassdoor
"PeopleTec, Inc.",3.5,Software Engineer,n/a,Intermediate,"Chicago, IL",166400,176800,171600,Employer
Flysoft,5,Software Engineer,n/a,Intermediate,Unknown,78000,112000,95000,Glassdoor
Ingrain Systems Inc.,3.9,Software Engineer,n/a,Intermediate,"Jamesburg, NJ",95000,125000,110000,Glassdoor
Carrier,4.7,Software Engineer,n/a,Intermediate,"Sherman, TX",92000,158000,125000,Employer
NCR,4.2,Software Engineer,n/a,Intermediate,"Charlotte, NC",147000,180000,163500,Employer
AnaVation,3.5,Software Engineer,"Fullstack, Java",Senior,Unknown,75000,102000,88500,Glassdoor
Soar Technology,3.5,Software Engineer,n/a,Intermediate,"Quantico, VA",60000,112000,86000,Employer
Red Ventures,3.1,Software Engineer,n/a,Intermediate,"Ann Arbor, MI",108000,151000,129500,Glassdoor
CVS Health,4.1,Software Engineer,n/a,Intermediate,"San Juan, PR",123000,196000,159500,Employer
