Company,Company Score,Original Title,Location,Primary Title,Secondary Title,Experience Level,Min Salary,Max Salary,Avg Salary,Salary Source,Is Hourly Converted,Date
S3,3.8,Software Engineer- 826245,"Stennis Space Center, MS",Software Engineer,n/a,Intermediate,56000,88000,72000,Glassdoor,No,20d
"J. Paul Getty Trust, The",4.1,Software Engineer Sr,"Los Angeles, CA",Software Engineer,n/a,Senior,72000,113000,92500,Glassdoor,No,30d+
Topaz Labs,3.4,Software Engineer - ML Performance / HPC,"Dallas, TX",Software Engineer,n/a,Intermediate,90000,119000,104500,Glassdoor,No,30d+
Rover.com,3.2,"Senior Software Engineer, Orders Team","Seattle, WA",Software Engineer,n/a,Senior,101000,135000,118000,Glassdoor,No,25d
University of Oregon,3.8,Research Software Engineer,"Eugene, OR",Software Engineer,n/a,Intermediate,155000,180000,167500,Employer,No,2d
dōTERRA International,4,Software Engineer II,Unknown,Software Engineer,n/a,Intermediate,85000,114000,99500,Glassdoor,No,12d
AHU Technologies,4.6,Software Engineer,"Newark, DE",Software Engineer,n/a,Intermediate,130000,160000,145000,Employer,No,12d
ALSTOM,3.4,Software Engineer,"Pittsburgh, PA",Software Engineer,n/a,Intermediate,160000,250000,205000,Employer,No,2d
ISPA Technology,3,Junior Software Systems Engineer,"Washington, DC",System Engineer,n/a,Entry,120000,150000,135000,Employer,No,23d
"Universal Health Services, Inc. - Corporate Office",3.4,Associate Software Engineer - Data Analytics,"King of Prussia, PA",Data Engineer,n/a,Entry,96000,146000,121000,Glassdoor,No,30d+
Relias,3.8,Associate Software Engineer,"Morrisville, NC",Software Engineer,n/a,Entry,107000,144000,125500,Glassdoor,No,4d
Tickrs Clearing,3.1,Software Engineer,"Irvine, CA",Software Engineer,n/a,Intermediate,138000,189000,163500,Glassdoor,No,2d
CTC Group,4.8,Software Engineer,"Fort Meade, MD",Software Engineer,n/a,Intermediate,78000,118000,98000,Glassdoor,No,30d+
GoTab Inc,3.5,Jr. Deployment Engineer,"Arlington, VA",DevOps Engineer,n/a,Entry,113000,139000,126000,Glassdoor,No,10d
CSX,3.8,Software Engineer II - Service Now,"Jacksonville, FL",Software Engineer,n/a,Intermediate,70000,109000,89500,Glassdoor,No,23d
Synergy ECP,4.4,Junior Software Engineer,"Fort Meade, MD",Software Engineer,n/a,Entry,73000,117000,95000,Glassdoor,No,2d
M&T Bank,5,Software Engineer III,"Wilmington, DE",Software Engineer,n/a,Senior,62000,107000,84500,Glassdoor,No,30d+
Cardlytics,5,Software Engineer III,"Menlo Park, CA",Software Engineer,n/a,Senior,124000,169000,146500,Glassdoor,No,18d
"Stefanini, Inc",3.8,AWS Cloud Engineer,"Richmond, VA",Cloud Engineer,AWS,Intermediate,96000,117000,106500,Employer,No,1d
Innovative Systems,3.8,C Software Engineer,"Pittsburgh, PA",Software Engineer,n/a,Intermediate,84000,140000,112000,Glassdoor,No,9d
Parabola,3.8,"Software Engineer, Full Stack",Unknown,Software Engineer,Fullstack,Intermediate,66000,94000,80000,Glassdoor,No,8d
Vibrint,3.5,Software Engineer I (Python Developer),Unknown,Software Engineer,Python,Entry,70000,120000,95000,Employer,No,11d
Millennium Management,4.2,Front End Engineer,Unknown,Software Engineer,n/a,Intermediate,78000,126000,102000,Employer,No,4d
Sagitec,3.9,Software Engineer,"Saint Paul, MN",Software Engineer,n/a,Intermediate,165000,209000,187000,Employer,No,2d
Careerus Soultions,4,DevOps Engineer,Unknown,DevOps Engineer,n/a,Intermediate,90000,125000,107500,Glassdoor,No,2d
Innovien Solutions,3.3,Sr. Software Engineer,"Atlanta, GA",Software Engineer,n/a,Senior,116000,150000,133000,Employer,No,6d
Ocean Power Technologies Inc,3.8,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,107000,192000,149500,Employer,No,2d
Riverside Research Institute,4.8,Software Engineer,"Fairborn, OH",Software Engineer,n/a,Intermediate,79000,120000,99500,Glassdoor,No,3d
Staffed4U,5,Java Software Engineer,"Annapolis Junction, MD",Software Engineer,Java,Intermediate,94000,153000,123500,Employer,No,30d+
Uber Freight,5,Software Engineer II,"Chicago, IL",Software Engineer,n/a,Intermediate,84000,129000,106500,Glassdoor,No,1d
Diverse Career Solutions,3.7,Software Engineer,Unknown,Software Engineer,n/a,Intermediate,48000,81000,64500,Glassdoor,No,2d
Snowflake,4.1,Software Engineer - Database Engineering,"Bellevue, WA",Software Engineer,n/a,Intermediate,82000,129000,105500,Glassdoor,No,4d
Likewize,4,Jr DevOps Engineer,"Dallas, TX",DevOps Engineer,n/a,Entry,61000,104000,82500,Glassdoor,No,2d
